data_model,sigma,repeats,seed,method,mean_squared_error,p90_squared_error,selected_temperature,csm_oracle_relative_difference,gaussian_unregularized_expected_risk
linear_gaussian,0.1,2,3,hebbian,0.3452821044154849,0.6196796706614929,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,3,softmax,0.013458897674436403,0.02379611762665826,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,3,oracle_ridge,0.013481012091618044,0.02383051672220736,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,4,csm,0.014004138569674234,0.02655077336261276,nan,3.1543776923650823e-16,0.020000000000000004
linear_gaussian,0.1,2,4,simple_average,0.01400413857200328,0.02655077336843653,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,4,hebbian,0.3524856711908983,0.6062462201107833,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,4,softmax,0.013986862825303634,0.02651452573472229,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,4,oracle_ridge,0.014004138569674234,0.02655077336261274,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,5,csm,0.01892038434529035,0.03481672634478869,nan,3.252190874743254e-16,0.020000000000000004
linear_gaussian,0.1,2,5,simple_average,0.01892038434833904,0.0348167263500311,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,5,hebbian,0.420333964325548,0.6264353002881214,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,5,softmax,0.018898315556572343,0.03478503764252899,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,5,oracle_ridge,0.018920384345290333,0.034816726344788655,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,6,csm,0.01515591102925541,0.029559418207693377,nan,2.7714622570566385e-16,0.020000000000000004
linear_gaussian,0.1,2,6,simple_average,0.01515591103101012,0.029559418209309567,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,6,hebbian,0.3390705235501155,0.43980454964660853,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,6,softmax,0.015141077354314202,0.02954093162289911,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,6,oracle_ridge,0.015155911029255403,0.029559418207693363,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,7,csm,0.02433431717395193,0.039627338308716585,nan,2.758479632611042e-16,0.020000000000000004
linear_gaussian,0.1,2,7,simple_average,0.02433431717689008,0.03962733831476324,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,7,hebbian,0.30914812695663385,0.5407014995008335,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,7,softmax,0.024311153950008803,0.039580824478729106,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,7,oracle_ridge,0.02433431717395193,0.039627338308716585,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,8,csm,0.015413937621531423,0.03015913055480953,nan,3.250230379837462e-16,0.020000000000000004
linear_gaussian,0.1,2,8,simple_average,0.01541393762431733,0.030159130557629647,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,8,hebbian,0.48539055754400884,0.8633526231229027,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,8,softmax,0.015393597858239075,0.03012535750290399,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,8,oracle_ridge,0.015413937621531416,0.0301591305548095,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,9,csm,0.02068920602749373,0.033792635364328506,nan,2.741292333520343e-16,0.020000000000000004
linear_gaussian,0.1,2,9,simple_average,0.020689206030138706,0.0337926353657803,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,9,hebbian,0.30541001440884086,0.4055537831010027,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,9,softmax,0.020669770563257854,0.03378437793748276,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,9,oracle_ridge,0.020689206027493724,0.033792635364328485,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,10,csm,0.025962782096064736,0.04587790282196393,nan,2.9236934139109727e-16,0.020000000000000004
linear_gaussian,0.1,2,10,simple_average,0.025962782099072115,0.045877902832005185,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,10,hebbian,0.34585313876838164,0.656431927818544,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,10,softmax,0.025944549476808906,0.04581089186441489,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,10,oracle_ridge,0.025962782096064736,0.045877902821963926,nan,nan,0.020000000000000004
